player,role,batting_style,bowling_style,Image,team
Aarya Desai,Opening Batter,Left hand Bat,Right arm Offbreak,https://wassets.hscicdn.com/static/images/player-jersey.svg,Kolkata Knight Riders
Abdul Basith,Allrounder,Right hand Bat,Right arm Offbreak,https://wassets.hscicdn.com/static/images/player-jersey.svg,Rajasthan Royals
Abdul Samad,Batter,Right hand Bat,Legbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/295300/295304.jpg",Sunrisers Hyderabad
Abhinav Manohar,Batting Allrounder,Right hand Bat,Legbreak Googly,https://wassets.hscicdn.com/static/images/player-jersey.svg,Gujarat Titans 
Abhishek Sharma,Allrounder,Left hand Bat,Slow Left arm Orthodox,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356800/356824.1.png",Sunrisers Hyderabad
Abishek Porel,Wicketkeeper Batter,Left hand Bat,DNB,https://wassets.hscicdn.com/static/images/player-jersey.svg,Delhi Capitals
Adam Zampa,Bowler,Right hand Bat,Legbreak Googly,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/263500/263543.1.jpg",Rajasthan Royals
Adil Rashid,Bowler,Right hand Bat,Legbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/289600/289662.1.jpg",Sunrisers Hyderabad
Aiden Markram,Opening Batter,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/317900/317970.jpg",Sunrisers Hyderabad
Ajay Mandal,Allrounder,Left hand Bat,Slow Left arm Orthodox,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/314900/314902.jpg",Chennai Super Kings
Ajinkya Rahane,Top order Batter,Right hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/312100/312159.png",Chennai Super Kings
Akash Deep,Bowling Allrounder,Right hand Bat,Right arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356800/356814.1.png",Royal Challengers Bangalore
Akash Madhwal,Bowler,Right hand Bat,Right arm Medium fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/314900/314988.png",Mumbai Indians
Akash Singh,Bowler,Right hand Bat,Left arm Medium fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/315000/315007.jpg",Chennai Super Kings
Akash Vasisht,Allrounder,Left hand Bat,Slow Left arm Orthodox,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/314900/314993.jpg",Rajasthan Royals
Akeal Hosein,Bowler,Left hand Bat,Slow Left arm Orthodox,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/326100/326139.4.jpg",Sunrisers Hyderabad
Alzarri Joseph,Bowler,Right hand Bat,Right arm Fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/321900/321943.png",Gujarat Titans 
Aman Hakim Khan,Allrounder,Right hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/338100/338165.4.jpg",Delhi Capitals
Ambati Rayudu,Middle order Batter,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/309000/309096.png",Chennai Super Kings
Amit Mishra,Bowler,Right hand Bat,Legbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/304100/304193.png",Lucknow Super Giants
Andre Russell,Allrounder,Right hand Bat,Right arm Fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/308900/308972.png",Kolkata Knight Riders
Anmolpreet Singh,Batter,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356800/356823.1.png",Sunrisers Hyderabad
Anrich Nortje,Bowler,Right hand Bat,Right arm Fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/317900/317968.jpg",Delhi Capitals
Anuj Rawat,Wicketkeeper Batter,Left hand Bat,DNB,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/357600/357621.7.jpg",Royal Challengers Bangalore
Anukul Roy,Allrounder,Left hand Bat,Slow Left arm Orthodox,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/338100/338166.4.jpg",Kolkata Knight Riders
Arjun Tendulkar,Bowler,Left hand Bat,Left arm Medium fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/357600/357633.4.jpg",Mumbai Indians
Arpit Guleria,Bowler,Right hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/315100/315165.jpg",Lucknow Super Giants
Arshad Khan,Bowler,Left hand Bat,Left arm Medium,https://wassets.hscicdn.com/static/images/player-jersey.svg,Mumbai Indians
Arshdeep Singh,Bowler,Left hand Bat,Left arm Medium fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356700/356795.1.png",Punjab Kings
Atharva Taide,Batting Allrounder,Left hand Bat,Slow Left arm Orthodox,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/357000/357037.1.png",Punjab Kings
Avesh Khan,Bowler,Right hand Bat,Right arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/200000/200065.1.jpg",Lucknow Super Giants
Avinash Singh,Bowler,Right hand Bat,Right arm Fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/357600/357627.4.jpg",Royal Challengers Bangalore
Axar Patel,Bowling Allrounder,Left hand Bat,Slow Left arm Orthodox,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/329300/329344.4.jpg",Delhi Capitals
Ayush Badoni,Batter,Right hand Bat,Right arm Offbreak,https://wassets.hscicdn.com/static/images/player-jersey.svg,Lucknow Super Giants
Baltej Singh,Bowler,Right hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356700/356797.1.png",Punjab Kings
Ben Stokes,Allrounder,Left hand Bat,Right arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/305000/305019.jpg",Chennai Super Kings
